SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical
O=Nc1c(Br)c(C#CC[C@@H](C[NH3+])C)cc(c1)C(=O)CO,12/000000691,"InChI=1S/C14H15BrN2O3/c1-9(7-16)3-2-4-10-5-11(13(19)8-18)6-12(17-20)14(10)15/h5-6,9,18H,3,7-8,16H2,1H3/p+1/t9-/m0/s1",C14H16N2O3Br,340.0,1.76,6.1,5.24,20.7,-170.0
SCn1nc([nH]c1=S)[C@@H](Cc1cc(C(=O)N=O)ccc1Br)Cl,12/000000358,"InChI=1S/C12H10BrClN4O2S2/c13-8-2-1-6(11(19)17-20)3-7(8)4-9(14)10-15-12(22)18(5-21)16-10/h1-3,9,21H,4-5H2,(H,15,16,22)/t9-/m1/s1",C12H10N4O2S2ClBr421,3.61,4.04,5.95,5.08,-179.0,
OCC(=O)c1cc(N=O)c(c(c1)n1cnnc1S)Br,12/000000088,"InChI=1S/C10H7BrN4O3S/c11-9-6(14-18)1-5(8(17)3-16)2-7(9)15-4-12-13-10(15)19/h1-2,4,16H,3H2,(H,13,19)",C10H7N4O3SBr,343.0,2.45,5.92,5.03,22.6,-120.0
OC(=O)c1cc(OC/C=C/[C@@H]2NNc3c2cccc3)c(c(c1)ON)Br,12/000001403,"InChI=1S/C17H16BrN3O4/c18-16-14(8-10(17(22)23)9-15(16)25-19)24-7-3-6-13-11-4-1-2-5-12(11)20-21-13/h1-6,8-9,13,20-21H,7,19H2,(H,22,23)/b6-3+/t13-/m0/s1",C17H16N3O4Br,406.0,2.98,5.86,7.55,21.3,-190.0
Oc1c(Br)ccnc1C1=C(C(=O)C=C(C1=O)C(=O)CCN)CCl,10/000000184,"InChI=1S/C15H12BrClN2O4/c16-9-2-4-19-13(15(9)23)12-8(6-17)11(21)5-7(14(12)22)10(20)1-3-18/h2,4-5,23H,1,3,6,18H2",C15H12N2O4ClBr,399.0,0.05,5.54,6.07,24.0,-160.0
OC(=O)c1cc(ON)c(c(c1)C[C@H](c1ncccc1)N)Br,12/000000612,"InChI=1S/C14H14BrN3O3/c15-13-8(5-9(14(19)20)7-12(13)21-17)6-10(16)11-3-1-2-4-18-11/h1-5,7,10H,6,16-17H2,(H,19,20)/t10-/m1/s1",C14H14N3O3Br,352.0,0.9,5.51,5.51,2.64,-150.0
OC[C@@](C)(C#CCCc1cc(C(=O)N=O)cc(c1Br)O)O,12/000000752,"InChI=1S/C14H14BrNO5/c1-14(20,8-17)5-3-2-4-9-6-10(13(19)16-21)7-11(18)12(9)15/h6-7,17-18,20H,2,4,8H2,1H3/t14-/m1/s1",C14H14NO5Br,356.0,1.31,5.45,5.9,5.21,-200.0
O=N[C@@H](/C=C/CNN)c1ccc(c(c1)CN)I,5/000000034,"InChI=1S/C11H15IN4O/c12-10-4-3-8(6-9(10)7-13)11(16-17)2-1-5-15-14/h1-4,6,11,15H,5,7,13-14H2/b2-1+/t11-/m0/s1",C11H15N4OI,346.0,1.36,5.45,2.99,16.5,-150.0
SCCN(CC#CCCc1cc(C(=O)N=O)cc(c1Br)O)C,12/000000805,"InChI=1S/C15H17BrN2O3S/c1-18(7-8-22)6-4-2-3-5-11-9-12(15(20)17-21)10-13(19)14(11)16/h9-10,19,22H,3,5-8H2,1H3",C15H17N2O3SBr,385.0,3.04,5.44,5.52,5.21,-80.0
Oc1cc(cc(c1)C#C[C@@H](CCO)/C=C/CNOC)/[NH]=C\1/NCCCN1,23/000000165,"InChI=1S/C19H27N4O3/c1-26-22-10-2-4-15(7-11-24)5-6-16-12-17(14-18(25)13-16)23-19-20-8-3-9-21-19/h2,4,12-15,20-25H,3,7-11H2,1H3/b4-2+/t15-/m0/s1",C19H26N4O3,358.0,1.97,5.41,2.85,24.3,-170.0
Oc1cc(C(=O)N=O)cc(c1Br)CCC#C[C@]1(SC=NCC1)[NH3+],12/000000807,"InChI=1S/C15H14BrN3O3S/c16-13-10(7-11(8-12(13)20)14(21)19-22)3-1-2-4-15(17)5-6-18-9-23-15/h7-9,20H,1,3,5-6,17H2/p+1/t15-/m1/s1",C15H15N3O3SBr,397.0,2.1,5.4,7.89,7.99,-150.0
OC(=O)c1cc(c(c(c1)ON)Br)C[C@H](/C=C/CC)N,12/000000631,"InChI=1S/C13H17BrN2O3/c1-2-3-4-10(15)6-8-5-9(13(17)18)7-11(19-16)12(8)14/h3-5,7,10H,2,6,15-16H2,1H3,(H,17,18)/b4-3+/t10-/m0/s1",C13H17N2O3Br,329.0,1.53,5.37,5.24,2.48,-170.0
OCc1c(I)ccc(c1)[C@@H](NN)C#CCCN(=O)=O,5/000000022,"InChI=1S/C12H14IN3O3/c13-11-5-4-9(7-10(11)8-17)12(15-14)3-1-2-6-16(18)19/h4-5,7,12,15,17H,2,6,8,14H2/t12-/m0/s1",C12H14N3O3I,375.0,1.5,5.37,2.19,19.7,-190.0
OC(=O)c1cc(ON)c(c(c1)C#CCCCCC=C(C)C)Br,12/000001211,"InChI=1S/C17H20BrNO3/c1-12(2)8-6-4-3-5-7-9-13-10-14(17(20)21)11-15(22-19)16(13)18/h8,10-11H,3-6,19H2,1-2H3,(H,20,21)",C17H20NO3Br,366.0,3.34,5.37,8.15,20.5,-140.0
OC(=O)c1cc(OC[C@@H](CCC)CBr)c(c(c1)ON)Br,12/000001389,"InChI=1S/C13H17Br2NO4/c1-2-3-8(6-14)7-19-10-4-9(13(17)18)5-11(20-16)12(10)15/h4-5,8H,2-3,6-7,16H2,1H3,(H,17,18)/t8-/m0/s1",C13H17NO4Br2,411.0,3.36,5.36,6.84,17.2,-170.0
O=Nc1c(Br)c(cc(c1)C(=O)CO)c1cnc(cc1)C(=O)O,12/000000376,"InChI=1S/C14H9BrN2O5/c15-13-9(7-1-2-10(14(20)21)16-5-7)3-8(12(19)6-18)4-11(13)17-22/h1-5,18H,6H2,(H,20,21)",C14H9N2O5Br,365.0,1.56,5.34,4.57,20.3,-160.0
OCc1cc(C(=O)N=O)cc(c1Br)CCCN[C@H](C=C)N,12/000000856,"InChI=1S/C14H18BrN3O3/c1-2-12(16)17-5-3-4-9-6-10(14(20)18-21)7-11(8-19)13(9)15/h2,6-7,12,17,19H,1,3-5,8,16H2/t12-/m1/s1",C14H18N3O3Br,356.0,1.68,5.33,6.36,20.3,-180.0
OC[C@@H](C(=O)c1cc(O)c(c(c1)/[NH]=c\1/[nH]nc[nH]1)Br)OC,12/000000682,"InChI=1S/C12H14BrN4O4/c1-21-9(4-18)11(20)6-2-7(10(13)8(19)3-6)16-12-14-5-15-17-12/h2-3,5,9,16-19H,4H2,1H3,(H,14,15)/b16-12+/t9-/m0/s1",C12H13N4O4Br,357.0,1.3,5.33,4.64,20.9,-170.0
O=N[C@H](CC)C#Cc1cc(C(=O)O)cc(c1Br)ON,12/000001433,"InChI=1S/C12H11BrN2O4/c1-2-9(15-18)4-3-7-5-8(12(16)17)6-10(19-14)11(7)13/h5-6,9H,2,14H2,1H3,(H,16,17)/t9-/m1/s1",C12H11N2O4Br,327.0,1.79,5.31,5.57,20.7,-170.0
Oc1cccc(c1)C#C[C@@H](CCO)/C=C/CNOCCC,23/000000182,"InChI=1S/C17H23NO3/c1-2-13-21-18-11-4-6-15(10-12-19)8-9-16-5-3-7-17(20)14-16/h3-7,14-15,18-20H,2,10-13H2,1H3/b6-4+/t15-/m0/s1",C17H23NO3,289.0,3.3,5.3,2.8,17.8,-200.0
Oc1c(I)c(C#CCCC2=CCCS2)cc(c1)N1C(=O)NCC1,28/000000522,"InChI=1S/C17H17IN2O2S/c18-16-12(4-1-2-5-14-6-3-9-23-14)10-13(11-15(16)21)20-8-7-19-17(20)22/h6,10-11,21H,2-3,5,7-9H2,(H,19,22)",C17H17N2O2SI,440.0,3.23,5.3,4.88,24.0,-120.0
OC(=O)c1cc(c(c(c1)ON)Br)C[C@@H]([NH3+])c1nnc(s1)S,12/000001299,"InChI=1S/C11H11BrN4O3S2/c12-8-4(1-5(10(17)18)3-7(8)19-14)2-6(13)9-15-16-11(20)21-9/h1,3,6H,2,13-14H2,(H,16,20)(H,17,18)/p+1/t6-/m1/s1",C11H12N4O3S2Br,392.0,1.36,5.29,6.71,2.64,-150.0
O=Nc1cc(cc(c1Br)[C@H](C=C)O)C(=O)CCNN,12/000000923,"InChI=1S/C12H14BrN3O3/c1-2-10(17)8-5-7(11(18)3-4-15-14)6-9(16-19)12(8)13/h2,5-6,10,15,17H,1,3-4,14H2/t10-/m0/s1",C12H14N3O3Br,328.0,0.7,5.29,3.34,5.24,-170.0
Oc1c(Br)ccnc1C1=C(C(=O)C=C(C1=O)C(=O)CCC[NH3+])CCl,10/000000140,"InChI=1S/C16H14BrClN2O4/c17-10-3-5-20-14(16(10)24)13-9(7-18)12(22)6-8(15(13)23)11(21)2-1-4-19/h3,5-6,24H,1-2,4,7,19H2/p+1",C16H15N2O4ClBr,414.0,0.41,5.28,5.91,24.6,-180.0
OC(=O)Cc1n[nH]c(n1)c1nc(ccc1I)/C=C/c1ccccc1,4/000000123,"InChI=1S/C17H13IN4O2/c18-13-9-8-12(7-6-11-4-2-1-3-5-11)19-16(13)17-20-14(21-22-17)10-15(23)24/h1-9H,10H2,(H,23,24)(H,20,21,22)/b7-6+",C17H13N4O2I,432.0,3.84,5.27,4.57,22.4,-160.0
Oc1cc(C(=O)N=O)cc(c1Br)CCC#C[C@H]([NH3+])c1nnco1,12/000000801,"InChI=1S/C14H11BrN4O4/c15-12-8(5-9(6-11(12)20)13(21)19-22)3-1-2-4-10(16)14-18-17-7-23-14/h5-7,10,20H,1,3,16H2/p+1/t10-/m0/s1",C14H12N4O4Br,380.0,2.24,5.24,4.34,7.99,-150.0
OC(=O)Cc1nc([nH]n1)c1nc(/C=C/c2cnccc2)c(cc1I)Cl,4/000000242,"InChI=1S/C16H11ClIN5O2/c17-10-6-11(18)15(16-21-13(22-23-16)7-14(24)25)20-12(10)4-3-9-2-1-5-19-8-9/h1-6,8H,7H2,(H,24,25)(H,21,22,23)/b4-3+",C16H11N5O2ClI,467.0,3.22,5.23,5.28,24.7,-180.0
Oc1c(C=C)c(C#CCCC2=CCCS2)cc(c1)N1C(=O)NCC1,28/000000503,"InChI=1S/C19H20N2O2S/c1-2-17-14(6-3-4-7-16-8-5-11-24-16)12-15(13-18(17)22)21-10-9-20-19(21)23/h2,8,12-13,22H,1,4-5,7,9-11H2,(H,20,23)",C19H20N2O2S,340.0,2.68,5.22,5.01,24.5,-120.0
OCC[NH2+][C@]1(C#CCCc2cc(C(=O)N=O)cc(c2Br)O)SC=NCC1,12/000000835,"InChI=1S/C17H18BrN3O4S/c18-15-12(9-13(10-14(15)23)16(24)21-25)3-1-2-4-17(20-7-8-22)5-6-19-11-26-17/h9-11,20,22-23H,1,3,5-8H2/p+1/t17-/m1/s1",C17H19N3O4SBr,441.0,1.78,5.22,8.21,5.65,-150.0
OC(=O)c1cc(c(c(c1)ON)Br)C[C@H](c1n[nH]cn1)N,12/000000725,"InChI=1S/C11H12BrN5O3/c12-9-5(2-7(13)10-15-4-16-17-10)1-6(11(18)19)3-8(9)20-14/h1,3-4,7H,2,13-14H2,(H,18,19)(H,15,16,17)/t7-/m1/s1",C11H12N5O3Br,342.0,0.3,5.21,5.36,2.48,-150.0
O=Nc1cc(cc(c1Br)CO)C(=O)[C@@H]1NC(=O)C=C1,12/000000427,"InChI=1S/C12H9BrN2O4/c13-11-7(5-16)3-6(4-9(11)15-19)12(18)8-1-2-10(17)14-8/h1-4,8,16H,5H2,(H,14,17)/t8-/m1/s1",C12H9N2O4Br,325.0,0.49,5.21,3.93,2.48,-170.0
N[C@@H](Nc1c(Br)c(N=O)cc(c1)C(=O)[C@H]1C=CCCC1)N,12/000000712,"InChI=1S/C14H17BrN4O2/c15-12-10(18-14(16)17)6-9(7-11(12)19-21)13(20)8-4-2-1-3-5-8/h2,4,6-8,14,18H,1,3,5,16-17H2/t8-/m0/s1",C14H15N4O2Br,351.0,1.78,5.21,3.14,21.6,-190.0
Oc1cc(C#CCCc2ccccc2)cc(c1)N1C(=O)NCC1,28/000000082,"InChI=1S/C19H18N2O2/c22-18-13-16(9-5-4-8-15-6-2-1-3-7-15)12-17(14-18)21-11-10-20-19(21)23/h1-3,6-7,12-14,22H,4,8,10-11H2,(H,20,23)",C19H18N2O2,306.0,3.03,5.2,2.73,18.8,-120.0
Oc1c(ncc(c1Br)S)C1=C(C(=O)C=C(C1=O)C(=O)C)CCl,10/000000121,"InChI=1S/C14H9BrClNO4S/c1-5(18)6-2-8(19)7(3-16)10(13(6)20)12-14(21)11(15)9(22)4-17-12/h2,4,21-22H,3H2,1H3",C14H9NO4SClBr,402.0,1.38,5.2,6.53,24.5,-180.0
OC[C@H]([NH3+])C#CCCc1cc(C(=O)N=O)cc(c1Br)O,12/000000846,"InChI=1S/C13H13BrN2O4/c14-12-8(3-1-2-4-10(15)7-17)5-9(6-11(12)18)13(19)16-20/h5-6,10,17-18H,1,3,7,15H2/p+1/t10-/m1/s1",C13H14N2O4Br,342.0,1.14,5.2,4.5,3.85,-150.0
OC(=O)c1cc(ON)c(c(c1)C#CCCCCF)Br,12/000001312,"InChI=1S/C13H13BrFNO3/c14-12-9(5-3-1-2-4-6-15)7-10(13(17)18)8-11(12)19-16/h7-8H,1-2,4,6,16H2,(H,17,18)",C13H13NO3FBr,330.0,3.03,5.2,5.26,19.8,0.0
OCCN(CC#CCCc1cc(C(=O)N=O)cc(c1Br)O)C,12/000000870,"InChI=1S/C15H17BrN2O4/c1-18(7-8-19)6-4-2-3-5-11-9-12(15(21)17-22)10-13(20)14(11)16/h9-10,19-20H,3,5-8H2,1H3",C15H17N2O4Br,369.0,1.66,5.19,5.39,5.21,-80.0
O=NC(=O)c1cc(c(c(c1)O)Br)C[C@H](c1nn[nH]n1)Cl,12/000000266,"InChI=1S/C10H7BrClN5O3/c11-8-4(2-6(12)9-13-16-17-14-9)1-5(3-7(8)18)10(19)15-20/h1,3,6,18H,2H2,(H,13,14,16,17)/t6-/m1/s1",C10H7N5O3ClBr,360.0,2.63,5.19,4.97,3.85,-150.0
OC(=O)c1cc(ON)c(c(c1)C[C@H](c1ncncc1)N)Br,12/000000642,"InChI=1S/C13H13BrN4O3/c14-12-7(3-8(13(19)20)5-11(12)21-16)4-9(15)10-1-2-17-6-18-10/h1-3,5-6,9H,4,15-16H2,(H,19,20)/t9-/m1/s1",C13H13N4O3Br,353.0,-0.14,5.19,5.52,2.64,-150.0
Oc1c(F)cc(c(c1)c1c[nH]c(c1)C(=O)N)N=O,6/000000091,"InChI=1S/C11H8FN3O3/c12-7-3-8(15-18)6(2-10(7)16)5-1-9(11(13)17)14-4-5/h1-4,14,16H,(H2,13,17)",C11H8N3O3F,249.0,0.87,5.18,2.88,20.9,-120.0
OC(=O)Cc1ncn(n1)[C@@H](Cc1cc(C(=O)C=C)cc(c1Br)O)Cl,12/000000718,"InChI=1S/C15H13BrClN3O4/c1-2-10(21)8-3-9(15(16)11(22)4-8)5-12(17)20-7-18-13(19-20)6-14(23)24/h2-4,7,12,22H,1,5-6H2,(H,23,24)/t12-/m0/s1",C15H13N3O4ClBr,414.0,2.32,5.18,5.99,6.31,-150.0
Oc1c(F)cc(c(c1)c1c[nH]c(c1)CN)N=O,6/000000074,"InChI=1S/C11H10FN3O2/c12-9-3-10(15-17)8(2-11(9)16)6-1-7(4-13)14-5-6/h1-3,5,14,16H,4,13H2",C11H10N3O2F,235.0,1.1,5.18,2.58,18.7,-140.0
S[C@H](C)/C=C/COc1cc(C(=O)O)cc(c1Br)ON,12/000001258,"InChI=1S/C12H14BrNO4S/c1-7(19)3-2-4-17-9-5-8(12(15)16)6-10(18-14)11(9)13/h2-3,5-7,19H,4,14H2,1H3,(H,15,16)/b3-2+/t7-/m1/s1",C12H14NO4SBr,348.0,2.25,5.17,6.92,18.4,-170.0
Oc1c(F)cc(c(c1)c1c[nH]c(c1)C(=O)O)N=O,6/000000107,"InChI=1S/C11H7FN2O4/c12-7-3-8(14-18)6(2-10(7)15)5-1-9(11(16)17)13-4-5/h1-4,13,15H,(H,16,17)",C11H7N2O4F,250.0,1.6,5.16,2.51,20.7,-120.0
Oc1cc(cc(c1S)C#CCC)N1C(=O)NCC1,28/000000365,"InChI=1S/C13H14N2O2S/c1-2-3-4-9-7-10(8-11(16)12(9)18)15-6-5-14-13(15)17/h7-8,16,18H,2,5-6H2,1H3,(H,14,17)",C13H14N2O2S,262.0,1.96,5.15,2.02,18.5,-140.0
N/C(=[NH]\c1cc(C(=O)C=C)cc(c1Br)N=O)/N1CCCC1,12/000000941,"InChI=1S/C14H16BrN4O2/c1-2-12(20)9-7-10(13(15)11(8-9)18-21)17-14(16)19-5-3-4-6-19/h2,7-8,17H,1,3-6,16H2/b17-14+",C14H15N4O2Br,351.0,3.06,5.15,4.81,21.6,0.0
NCNNCC1=CC(=O)C(=C(C1=O)c1nccc(c1)Br)CCl,10/000000020,"InChI=1S/C14H14BrClN4O2/c15-9-1-2-18-11(4-9)13-10(5-16)12(21)3-8(14(13)22)6-19-20-7-17/h1-4,19-20H,5-7,17H2",C14H14N4O2ClBr,385.0,1.2,5.15,5.18,22.8,-200.0
Oc1c(nccc1Br)C1=C(C(=O)C=C(C1=O)C(=O)C[NH2+]CC)CCl,10/000000130,"InChI=1S/C16H14BrClN2O4/c1-2-19-7-12(22)8-5-11(21)9(6-18)13(15(8)23)14-16(24)10(17)3-4-20-14/h3-5,19,24H,2,6-7H2,1H3/p+1",C16H15N2O4ClBr,414.0,0.71,5.15,5.76,24.6,-200.0
OC(=O)Cc1nc([nH]n1)c1nc(/C=C/c2cnccc2)c(cc1I)CO,4/000000286,"InChI=1S/C17H14IN5O3/c18-12-6-11(9-24)13(4-3-10-2-1-5-19-8-10)20-16(12)17-21-14(22-23-17)7-15(25)26/h1-6,8,24H,7,9H2,(H,25,26)(H,21,22,23)/b4-3+",C17H14N5O3I,463.0,1.78,5.14,6.02,24.8,-180.0
OCC(=O)c1cc(c(c(c1)N=O)Br)CON,12/000000911,"InChI=1S/C9H9BrN2O4/c10-9-6(4-16-11)1-5(8(14)3-13)2-7(9)12-15/h1-2,13H,3-4,11H2",C9H9N2O4Br,289.0,-0.16,5.13,4.09,3.72,0.0
Oc1cc(cc(c1NC(N)N)CCCC)N1C(=O)NCC1,28/000000314,"InChI=1S/C14H23N5O2/c1-2-3-4-9-7-10(19-6-5-17-14(19)21)8-11(20)12(9)18-13(15)16/h7-8,13,18,20H,2-6,15-16H2,1H3,(H,17,21)",C14H22N5O2,292.0,0.34,5.12,7.1,18.7,-140.0
C1=C(c2ccc(cc2)CCNCN)C(=O)C(=CC1=O)CN,10/000000090,"InChI=1S/C16H19N3O2/c17-9-13-7-14(20)8-15(16(13)21)12-3-1-11(2-4-12)5-6-19-10-18/h1-4,7-8,19H,5-6,9-10,17-18H2",C16H19N3O2,285.0,-0.3,5.12,4.21,3.58,-160.0
OC(=O)c1cc(c(c(c1)ON)Br)C[C@@H]([NH3+])c1sc(=S)[nH]c1,12/000001453,"InChI=1S/C12H12BrN3O3S2/c13-10-5(1-6(11(17)18)3-8(10)19-15)2-7(14)9-4-16-12(20)21-9/h1,3-4,7H,2,14-15H2,(H,16,20)(H,17,18)/p+1/t7-/m1/s1",C12H13N3O3S2Br,391.0,0.75,5.12,7.48,2.64,-150.0
OC(=O)c1cc(OC(=O)/C=C/C[C@@H]2OC=COC2)c(c(c1)ON)Br,12/000001238,"InChI=1S/C15H14BrNO7/c16-14-11(6-9(15(19)20)7-12(14)24-17)23-13(18)3-1-2-10-8-21-4-5-22-10/h1,3-7,10H,2,8,17H2,(H,19,20)/b3-1+/t10-/m0/s1",C15H14NO7Br,400.0,1.62,5.11,6.46,23.7,-150.0
OC(=O)c1cc(ON)c(c(c1)C#CCCCC=C)Br,12/000001336,"InChI=1S/C14H14BrNO3/c1-2-3-4-5-6-7-10-8-11(14(17)18)9-12(19-16)13(10)15/h2,8-9H,1,3-5,16H2,(H,17,18)",C14H14NO3Br,324.0,2.82,5.11,5.19,18.7,0.0
O=Nc1cc(F)c(cc1c1c(C=C)[nH]c(c1)C(=O)OC)O,6/000000149,"InChI=1S/C14H11FN2O4/c1-3-10-7(4-12(16-10)14(19)21-2)8-5-13(18)9(15)6-11(8)17-20/h3-6,16,18H,1H2,2H3",C14H11N2O4F,290.0,2.45,5.11,4.49,23.5,-160.0
Oc1c(F)cc(c(c1)c1c[nH]c(c1)CO)N=O,6/000000064,"InChI=1S/C11H9FN2O3/c12-9-3-10(14-17)8(2-11(9)16)6-1-7(5-15)13-4-6/h1-4,13,15-16H,5H2",C11H9N2O3F,236.0,1.17,5.1,2.88,18.5,-140.0
OC(=O)c1cc(c(c(c1)ON)Br)[C@H](CC#CC)N,12/000001193,"InChI=1S/C12H13BrN2O3/c1-2-3-4-9(14)8-5-7(12(16)17)6-10(18-15)11(8)13/h5-6,9H,4,14-15H2,1H3,(H,16,17)/t9-/m0/s1",C12H13N2O3Br,313.0,1.01,5.1,7.09,17.9,-170.0
Oc1c(F)cc(c(c1)c1c[nH]c(c1)C[NH3+])N=O,6/000000065,"InChI=1S/C11H10FN3O2/c12-9-3-10(15-17)8(2-11(9)16)6-1-7(4-13)14-5-6/h1-3,5,14,16H,4,13H2/p+1",C11H11N3O2F,236.0,1.1,5.1,2.87,18.7,-140.0
OCCCC#Cc1cc(cc(c1Br)O)N1C(=O)NCC1,28/000000449,"InChI=1S/C14H15BrN2O3/c15-13-10(4-2-1-3-7-18)8-11(9-12(13)19)17-6-5-16-14(17)20/h8-9,18-19H,1,3,5-7H2,(H,16,20)",C14H15N2O3Br,339.0,1.61,5.1,4.23,19.5,-120.0
Oc1cccc(c1)C#C[C@@H](CCO)/C=C/CNOC,23/000000053,"InChI=1S/C15H19NO3/c1-19-16-10-3-5-13(9-11-17)7-8-14-4-2-6-15(18)12-14/h2-6,12-13,16-18H,9-11H2,1H3/b5-3+/t13-/m0/s1",C15H19NO3,261.0,2.52,5.09,3.53,16.6,-170.0
N/C(=C\c1cnc(cc1Br)C1=C(C(=O)C=C(C1=O)CN)CCl)/CC,10/000000153,"InChI=1S/C17H17BrClN3O2/c1-2-11(21)3-10-8-22-14(5-13(10)18)16-12(6-19)15(23)4-9(7-20)17(16)24/h3-5,8H,2,6-7,20-21H2,1H3/b11-3-",C17H17N3O2ClBr,410.0,0.94,5.09,8.38,24.2,-180.0
ONCC#CCc1cc(C(=O)N=O)cc(c1Br)O,12/000000827,"InChI=1S/C11H9BrN2O4/c12-10-7(3-1-2-4-13-17)5-8(6-9(10)15)11(16)14-18/h5-6,13,15,17H,3-4H2",C11H9N2O4Br,313.0,1.91,5.09,5.92,3.85,0.0
Oc1cc(C(=O)N=O)cc(c1Br)CCC#C[C@H](CCF)[NH3+],12/000000844,"InChI=1S/C14H14BrFN2O3/c15-13-9(3-1-2-4-11(17)5-6-16)7-10(8-12(13)19)14(20)18-21/h7-8,11,19H,1,3,5-6,17H2/p+1/t11-/m1/s1",C14H15N2O3FBr,358.0,2.83,5.09,5.85,5.21,-180.0
O=Nc1cc(cc(c1Br)CCON)C(=O)C[NH3+],12/000000144,"InChI=1S/C10H12BrN3O3/c11-10-6(1-2-17-13)3-7(9(15)5-12)4-8(10)14-16/h3-4H,1-2,5,12-13H2/p+1",C10H13N3O3Br,303.0,-0.07,5.08,5.32,3.58,0.0
OCc1cc(C(=O)N=O)cc(c1Br)C[C@H](C1=CN=CCN1)Cl,12/000000257,"InChI=1S/C14H13BrClN3O3/c15-13-8(5-11(16)12-6-17-1-2-18-12)3-9(14(21)19-22)4-10(13)7-20/h1,3-4,6,11,18,20H,2,5,7H2/t11-/m1/s1",C14H13N3O3ClBr,386.0,1.5,5.07,6.73,24.0,-150.0
O=Nc1cc(cc(c1Br)CONCCl)C(=O)CS,12/000000917,"InChI=1S/C10H10BrClN2O3S/c11-10-7(3-17-13-5-12)1-6(9(15)4-18)2-8(10)14-16/h1-2,13,18H,3-5H2",C10H10N2O3SClBr,353.0,2.8,5.07,5.87,3.72,0.0
OC(=O)Cc1nc([nH]n1)c1nc(/C=C/c2cnccc2)c(cc1I)OC,4/000000248,"InChI=1S/C17H14IN5O3/c1-26-13-7-11(18)16(17-21-14(22-23-17)8-15(24)25)20-12(13)5-4-10-3-2-6-19-9-10/h2-7,9H,8H2,1H3,(H,24,25)(H,21,22,23)/b5-4+",C17H14N5O3I,463.0,2.51,5.07,5.86,24.8,-200.0
OC[C@H](/C=C/c1ccc(c(c1O)Cl)N=O)C1=CC(=O)NC1=O,30/000000018,"InChI=1S/C14H11ClN2O5/c15-12-10(17-22)4-3-7(13(12)20)1-2-8(6-18)9-5-11(19)16-14(9)21/h1-5,8,18,20H,6H2,(H,16,19,21)/b2-1+/t8-/m0/s1",C14H11N2O5Cl,322.0,0.44,5.07,4.58,6.72,-150.0
O=NC(=O)c1cc(c(c(c1)O)Br)CCC#C[C@H](CC)[NH3+],12/000000839,"InChI=1S/C14H15BrN2O3/c1-2-11(16)6-4-3-5-9-7-10(14(19)17-20)8-12(18)13(9)15/h7-8,11,18H,2-3,5,16H2,1H3/p+1/t11-/m0/s1",C14H16N2O3Br,340.0,2.62,5.06,5.31,3.85,-170.0
OC(=O)Cc1nc([nH]n1)c1nc(c(cc1I)O)/C=C/CSC,4/000000245,"InChI=1S/C13H13IN4O3S/c1-22-4-2-3-8-9(19)5-7(14)12(15-8)13-16-10(17-18-13)6-11(20)21/h2-3,5,19H,4,6H2,1H3,(H,20,21)(H,16,17,18)/b3-2+",C13H13N4O3SI,432.0,2.56,5.06,4.46,24.5,-160.0
O[C@H](c1cc(C(=O)O)cc(c1Br)ON)C=C,12/000000721,"InChI=1S/C10H10BrNO4/c1-2-7(13)6-3-5(10(14)15)4-8(16-12)9(6)11/h2-4,7,13H,1,12H2,(H,14,15)/t7-/m0/s1",C10H10NO4Br,288.0,0.64,5.06,4.86,14.7,-150.0
Oc1c(ncc(c1Br)OC)C1=C(C(=O)C=C(C1=O)CN)CCl,10/000000157,"InChI=1S/C14H12BrClN2O4/c1-22-9-5-18-12(14(21)11(9)15)10-7(3-16)8(19)2-6(4-17)13(10)20/h2,5,21H,3-4,17H2,1H3",C14H12N2O4ClBr,387.0,0.2,5.06,8.62,22.4,-180.0
OC(=O)c1cc(OC(=O)CCC/C(=C/CC)/C)c(c(c1)ON)Br,12/000001174,"InChI=1S/C16H20BrNO5/c1-3-5-10(2)6-4-7-14(19)22-12-8-11(16(20)21)9-13(23-18)15(12)17/h5,8-9H,3-4,6-7,18H2,1-2H3,(H,20,21)/b10-5+",C16H20NO5Br,386.0,2.13,5.06,5.26,20.5,-170.0
O=Nc1cc(F)c(cc1c1c[nH]c(c1)CON)O,6/000000131,"InChI=1S/C11H10FN3O3/c12-9-3-10(15-17)8(2-11(9)16)6-1-7(5-18-13)14-4-6/h1-4,14,16H,5,13H2",C11H10N3O3F,251.0,0.66,5.05,2.8,19.9,-160.0
Oc1cc(cc(c1C)C#CCCCCCC)N1C(=O)NCC1,28/000000398,"InChI=1S/C18H24N2O2/c1-3-4-5-6-7-8-9-15-12-16(13-17(21)14(15)2)20-11-10-19-18(20)22/h12-13,21H,3-7,10-11H2,1-2H3,(H,19,22)",C18H24N2O2,300.0,3.24,5.05,1.29,19.0,-200.0
C#C[C@@H](Cc1cc(C(=O)N=O)cc(c1Br)O)NN,12/000000744,"InChI=1S/C11H10BrN3O3/c1-2-8(14-13)4-6-3-7(11(17)15-18)5-9(16)10(6)12/h1,3,5,8,14,16H,4,13H2/t8-/m0/s1",C11H10N3O3Br,312.0,1.4,5.04,5.34,3.85,-150.0
